timestamp,turbine_id,wind_speed,wind_direction,power_output
01/03/2022 00:00,1,11.8,169,2.7
01/03/2022 00:00,2,11.6,24,2.2
01/03/2022 00:00,3,13.8,335,2.3
01/03/2022 00:00,4,12.8,238,1.9
01/03/2022 00:00,5,11.4,103,3.5
01/03/2022 01:00,1,11.6,152,4.4
01/03/2022 01:00,2,12.8,35,4.2
01/03/2022 01:00,3,10.4,169,1.9
01/03/2022 01:00,4,13.9,170,2.4
01/03/2022 01:00,5,12.1,165,4
01/03/2022 02:00,1,13.8,73,2.9
01/03/2022 02:00,2,9.9,103,3.8
01/03/2022 02:00,3,12.2,188,4
01/03/2022 02:00,4,13.2,21,4.1
01/03/2022 02:00,5,9.4,10,2.7
01/03/2022 03:00,1,10.5,61,1.8
01/03/2022 03:00,2,12.4,274,3.4
01/03/2022 03:00,3,14.3,232,2.2
01/03/2022 03:00,4,11.5,32,3.3
01/03/2022 03:00,5,11.7,305,2.2
01/03/2022 04:00,1,9.1,209,2.3
01/03/2022 04:00,2,14.9,335,2
01/03/2022 04:00,3,11.4,187,2.6
01/03/2022 04:00,4,14.2,277,3
01/03/2022 04:00,5,9.5,101,2.2
01/03/2022 05:00,1,12.4,116,2.2
01/03/2022 05:00,2,11.3,76,1.8
01/03/2022 05:00,3,10.8,160,3.3
01/03/2022 05:00,4,10,43,2.2
01/03/2022 05:00,5,10.5,196,3.5
01/03/2022 06:00,1,9.2,97,4.2
01/03/2022 06:00,2,14,187,2.1
01/03/2022 06:00,3,11.8,249,2.3
01/03/2022 06:00,4,10,244,3.8
01/03/2022 06:00,5,10.5,287,3.2
01/03/2022 07:00,1,10.1,87,4
01/03/2022 07:00,2,13.5,296,4.1
01/03/2022 07:00,3,12.5,171,3.8
01/03/2022 07:00,4,13.4,242,3.2
01/03/2022 07:00,5,9.5,265,1.7
01/03/2022 08:00,1,12.6,150,1.6
01/03/2022 08:00,2,10.1,224,4.4
01/03/2022 08:00,3,14.4,132,1.6
01/03/2022 08:00,4,14.1,15,2.3
01/03/2022 08:00,5,13.8,163,2.7
01/03/2022 09:00,1,9.1,31,2.7
01/03/2022 09:00,2,10.5,2,2.9
01/03/2022 09:00,3,14.7,81,3.7
01/03/2022 09:00,4,12.3,138,1.7
01/03/2022 09:00,5,14.9,83,4
01/03/2022 10:00,1,9.6,127,2.8
01/03/2022 10:00,2,10,89,3.9
01/03/2022 10:00,3,9.5,267,2.3
01/03/2022 10:00,4,10.1,195,2.9
01/03/2022 10:00,5,9.6,95,2.5
01/03/2022 11:00,1,12.9,348,4
01/03/2022 11:00,2,12.7,7,1.6
01/03/2022 11:00,3,10,294,1.7
01/03/2022 11:00,4,14.6,171,2.3
01/03/2022 11:00,5,10,252,3
01/03/2022 12:00,1,11.9,93,2
01/03/2022 12:00,2,10,337,4
01/03/2022 12:00,3,9.6,135,4.5
01/03/2022 12:00,4,14.2,234,1.5
01/03/2022 12:00,5,12.5,182,2.5
01/03/2022 13:00,1,11.4,289,3.9
01/03/2022 13:00,2,11.3,78,3.8
01/03/2022 13:00,3,14.9,147,1.8
01/03/2022 13:00,4,11.2,291,3.6
01/03/2022 13:00,5,11.3,17,3.2
01/03/2022 14:00,1,9.4,316,3.9
01/03/2022 14:00,2,11.2,293,1.9
01/03/2022 14:00,3,11.3,216,3.3
01/03/2022 14:00,4,14.8,244,4.2
01/03/2022 14:00,5,13.1,64,2.9
01/03/2022 15:00,1,9.7,135,2.9
01/03/2022 15:00,2,12.7,158,4
01/03/2022 15:00,3,9.2,171,2.2
01/03/2022 15:00,4,9.2,122,4.4
01/03/2022 15:00,5,11.9,84,2.1
01/03/2022 16:00,1,12.4,289,2.3
01/03/2022 16:00,2,10,46,3.7
01/03/2022 16:00,3,11.6,102,1.6
01/03/2022 16:00,4,9.4,139,3.1
01/03/2022 16:00,5,10.9,328,4.5
01/03/2022 17:00,1,11.7,253,4.3
01/03/2022 17:00,2,9.6,274,3.9
01/03/2022 17:00,3,9.3,243,3.1
01/03/2022 17:00,4,12.9,244,3.7
01/03/2022 17:00,5,13.1,215,2.6
01/03/2022 18:00,1,10.1,240,1.8
01/03/2022 18:00,2,14.3,254,2.9
01/03/2022 18:00,3,14.2,76,2.7
01/03/2022 18:00,4,12.9,78,3.2
01/03/2022 18:00,5,12.5,20,4.2
01/03/2022 19:00,1,14.7,131,2.5
01/03/2022 19:00,2,9.1,170,3
01/03/2022 19:00,3,13.5,38,1.9
01/03/2022 19:00,4,13.3,54,4.3
01/03/2022 19:00,5,12.5,61,3.2
01/03/2022 20:00,1,9.2,300,3.1
01/03/2022 20:00,2,14.8,89,1.6
01/03/2022 20:00,3,9.6,333,3.6
01/03/2022 20:00,4,9.5,135,3.3
01/03/2022 20:00,5,11.8,215,4
01/03/2022 21:00,1,10.8,328,2.5
01/03/2022 21:00,2,13.9,121,1.8
01/03/2022 21:00,3,12.1,211,3.8
01/03/2022 21:00,4,11.4,315,2.4
01/03/2022 21:00,5,11,201,4.2
01/03/2022 22:00,1,13.1,286,2.2
01/03/2022 22:00,2,14.7,154,2.8
01/03/2022 22:00,3,14.7,158,2.3
01/03/2022 22:00,4,14,271,2.2
01/03/2022 22:00,5,9,193,2.7
01/03/2022 23:00,1,13,52,4.4
01/03/2022 23:00,2,9.8,316,1.8
01/03/2022 23:00,3,11.3,143,3.9
01/03/2022 23:00,4,12.4,2,3.5
01/03/2022 23:00,5,11,350,2.6
02/03/2022 00:00,1,10.7,101,3.4
02/03/2022 00:00,2,10.7,233,1.7
02/03/2022 00:00,3,13.2,43,3.3
02/03/2022 00:00,4,13.6,292,3.7
02/03/2022 00:00,5,14.5,183,4.3
02/03/2022 01:00,1,14.1,272,2.1
02/03/2022 01:00,2,13.5,313,2.4
02/03/2022 01:00,3,12.7,32,3.5
02/03/2022 01:00,4,12.5,226,2.7
02/03/2022 01:00,5,10.3,32,4.1
02/03/2022 02:00,1,13.6,152,2.6
02/03/2022 02:00,2,14.5,167,1.8
02/03/2022 02:00,3,10.6,143,2.9
02/03/2022 02:00,4,12.3,322,1.6
02/03/2022 02:00,5,12.7,271,3
02/03/2022 03:00,1,10,256,4.4
02/03/2022 03:00,2,9.1,157,2.3
02/03/2022 03:00,3,10.5,33,4
02/03/2022 03:00,4,14.2,12,4
02/03/2022 03:00,5,11.9,82,2.1
02/03/2022 04:00,1,14,8,3.2
